country,location_name,latitude,longitude,condition_text,precip_mm
Belgium,Brussels,50.83,4.33,Clear,0
Belize,Belmopan,17.25,-88.77,Partly cloudy,0.1
Benin,Porto-Novo,6.48,2.62,Partly cloudy,2.2
Bhutan,Thimphu,27.48,89.6,Mist,0
Bolivia,Sucre,-19.04,-65.26,Clear,0
Bosnia and Herzegovina,Sarajevo,43.85,18.38,Clear,0
Botswana,Gaborone,-24.65,25.91,Clear,0
Brazil,Bras,-2.08,-58.17,Clear,0
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Partly cloudy,0
Bulgaria,Sofia,42.68,23.32,Partly cloudy,0
Burkina Faso,Ouagadougou,12.37,-1.52,Patchy rain possible,1.1
Burundi,Bujumbura,-3.38,29.36,Clear,0
Madagascar,Ivory,-24.37,46.45,Clear,0
Cape Verde,Praia,14.93,-23.51,Partly cloudy,0
Cambodia,Phnom Penh,11.55,104.92,Partly cloudy,0
Cameroon,Bafoussam,5.47,10.42,Moderate or heavy rain shower,2.8
Canada,Ottawa,45.42,-75.7,Partly cloudy,0
Central African Republic,Bangui,4.37,18.58,Clear,0.3
Chad,N'djamena,12.11,15.05,Clear,0.1
Chile,Santiago,-33.45,-70.67,Clear,0
China,Beijing,39.93,116.39,Sunny,0.2
Bulgaria,Bogot,43.32,24.7,Clear,0
Comoros,Moroni,-11.7,43.24,Clear,0
Congo,Brazzaville,-4.26,15.28,Clear,0
Costa Rica,San Juan,9.97,-84.08,Partly cloudy,0.3
Croatia,Zagreb,45.8,16,Light rain,0
Cuba,Havana,23.13,-82.36,Partly cloudy,0
Cyprus,Nicosia,35.17,33.37,Clear,0
Czech Republic,Prague,50.08,14.47,Partly cloudy,0
Democratic Republic of Congo,Kinshasa,-4.3,15.3,Clear,0
Denmark,Copenhagen,55.67,12.58,Clear,0
Djibouti,Djibouti,11.6,43.15,Clear,0
Dominica,Roseau,15.3,-61.4,Partly cloudy,0.1
Dominican Republic,Santo Domingo,18.47,-69.9,Partly cloudy,0
Ecuador,Quito,-0.22,-78.5,Patchy rain possible,0.1
Egypt,Cairo,30.05,31.25,Clear,0
El Salvador,San Salvador,13.71,-89.2,Partly cloudy,0.7
Equatorial Guinea,Malabo,3.75,8.78,Partly cloudy,0
Eritrea,Asmara,15.33,38.93,Patchy rain possible,0.1
Estonia,Tallinn,59.43,24.73,Light rain shower,0
Swaziland,Mbabane,-26.32,31.13,Clear,0
Ethiopia,Addis Ababa,9.03,38.7,Moderate rain,0.1
Fiji Islands,Suva,-18.13,178.42,Partly cloudy,0.1
Finland,Helsinki,60.18,24.93,Mist,0
