cloud,visibility_km,visibility_miles,air_quality
0,10,6,1.1
100,10,6,12
25,10,6,5.4
0,10,6,7.3
50,10,6,3.6
0,8,4,38.4
53,10,6,64.6
50,10,6,4
0,10,6,3.3
0,10,6,6.4
25,10,6,2.2
75,8,4,7.6
22,10,6,5.9
8,10,6,2.1
50,10,6,4.2
0,10,6,12.1
9,10,6,3.6
75,8,4,4.4
100,10,6,7.7
25,10,6,25.7
10,10,6,35.4
0,10,6,0.5
0,10,6,12.8
50,10,6,11.1
77,3,1,4.3
75,24,14,5
25,8,4,2.2
25,8,4,26.6
75,10,6,248.1
0,2.8,1,251.9
70,7,4,10.2
3,10,6,2.8
75,8,4,6.6
50,10,6,9.3
0,10,6,4.4
25,9,5,4.1
25,10,6,30.1
0,10,6,6.3
75,8,4,6.6
50,10,6,8.1
50,10,6,27.6
75,10,6,6.4
75,10,6,6.3
50,10,6,16.4
0,10,6,18.1
50,10,6,13.5
61,10,6,7.4
2,10,6,30
0,10,6,0.6
0,10,6,50.8
50,10,6,28.8
50,10,6,2
25,10,6,2.8
0,10,6,9.7
50,10,6,5
50,10,6,1.5
75,10,6,3.2
0,10,6,6.2
50,10,6,14.6
0,10,6,10.9
25,10,6,4.6
50,10,6,5.1
75,10,6,0.8
25,6,3,1.3
25,10,6,2.6
50,9,5,22.2
0,10,6,15
50,10,6,0.7
0,10,6,7.1
72,10,6,1.8
0,3.5,2,13.8
25,6,3,154.5
50,10,6,17
0,10,6,15.9
25,10,6,4.9
25,10,6,26.3
0,10,6,15
25,10,6,12.4
75,3,1,3.2
0,6,3,26
75,5,3,6.8
75,10,6,10
69,10,6,0.9
0,10,6,48.5
31,10,6,6.6
47,10,6,14
0,10,6,4.2
50,8,4,28.9
0,10,6,13.5
75,10,6,2.2
0,10,6,15.1
0,10,6,6.8
50,10,6,5.4
0,10,6,15.9
75,10,6,3.1
0,10,6,7
25,10,6,90.4
91,10,6,2.4
25,10,6,2
0,10,6,6.6
75,24,14,0.5
11,10,6,24.8
50,10,6,3.8
100,6.4,3,17.8
100,24,14,0.5
8,10,6,0.5
0,10,6,8.2
0,10,6,4.1
0,10,6,12.8
0,5,3,4.1
0,10,6,5.6
80,2,1,2.7
0,10,6,12.5
0,10,6,6.2
75,7,4,110.1
0,10,6,8.3
75,10,6,0.8
50,10,6,3
0,8,4,74.9
0,10,6,2.9
60,10,6,38.6
75,10,6,7.6
75,10,6,2.4
0,9,5,22.7
20,10,6,62.9
75,21,13,0.6
73,10,6,0.5
50,10,6,4.4
25,10,6,4.4
25,10,6,0.5
21,10,6,7.5
100,6,3,3.9
0,10,6,4.2
0,10,6,5
0,9,5,43.7
0,10,6,9
0,10,6,13.1
25,8,4,24.8
25,10,6,3.1
25,10,6,6.1
31,10,6,8.6
75,10,6,2.7
0,10,6,19.1
0,10,6,14.2
0,10,6,23.1
50,10,6,2.3
0,10,6,6.8
25,10,6,1.4
75,10,6,1.2
75,7,4,22.6
0,10,6,4.2
75,10,6,9.4
25,10,6,1.3
49,10,6,3.6
0,10,6,23
75,10,6,33.4
13,10,6,4.7
100,9,5,1.5
75,10,6,5.4
49,10,6,37.7
5,10,6,2.2
75,10,6,3.3
0,10,6,6.5
0,10,6,23.9
25,10,6,9.8
8,10,6,2.6
25,10,6,162.1
0,10,6,15.8
51,10,6,3.1
25,10,6,1.9
25,10,6,2.9
25,10,6,17.6
75,10,6,8.5
0,10,6,20.5
50,10,6,1.2
6,10,6,24.7
14,10,6,8.8
0,10,6,38.1
0,8,4,13.3
0,16,9,1.9
100,5,3,2.5
37,10,6,12.1
50,10,6,3.2
50,10,6,5.2
100,4,2,50
5,10,6,25.7
0,10,6,10.5
2,10,6,7.3
0,10,6,8.6
75,10,6,1.5
50,8,4,5.1
3,10,6,10.7
75,8,4,8.2
25,10,6,3.6
0,10,6,3.2
0,10,6,9.3
0,10,6,1.4
0,10,6,6.1
0,10,6,22.8
25,10,6,2.2
0,10,6,92.1
48,10,6,22.9
25,10,6,3.6
0,10,6,2.6
0,10,6,12.1
25,10,6,3.4
25,10,6,10.1
39,10,6,5.7
70,10,6,1.4
75,10,6,4.4
0,10,6,32.7
6,10,6,2.2
75,9,5,10.5
100,10,6,1.2
85,10,6,23.5
9,10,6,37.5
6,10,6,1.8
25,10,6,13.9
50,9,5,7.5
62,5,3,6.3
25,24,14,17.5
50,8,4,0.5
25,8,4,9.2
75,10,6,577.3
0,2.8,1,607.7
19,10,6,2.2
3,10,6,2.9
77,10,6,8.5
75,10,6,12.9
0,10,6,5.8
75,9,5,6.3
25,10,6,19.1
0,10,6,21.3
47,10,6,8.5
0,10,6,4.9
6,10,6,36.2
75,10,6,2.6
75,10,6,6.8
